"","unique.cellid","CGP.cellid","CCLE.cellid","GSK.cellid","NCI60.cellid","GRAY.cellid","GNE.cellid","CTRP.cellid","CGP_EMTAB3610.cellid","CCLE_rnaseq.cellid","GDSC.SNP.cellid","Ben_Neel.cellid","CTRPv2.cellid","CGP.tissueid","CCLE.tissueid","GSK.tissueid","NCI60.tissueid","GRAY.tissueid","GNE.tissueid","CTRP.tissueid","CGP_EMTAB3610.tissueid","CCLE_rnaseq.tissueid","GDSC.SNP.tissueid","Ben_Neel.tissueid","COSMIC.tissueid","unique.tissueid","CTRPv2.tissueid"
"126","COR-L51","COR-L51","COR-L51","","","","","CORL51","COR-L23","","","","CORL51","lung","lung","","","","","LUNG","Lung:NSCLC","","","","lung","lung","lung"
"127","COR-L88","COR-L88","COR-L88","CORL88","","","COR-L88","CORL88","COR-L88","COR-L88","COR-L88","","CORL88","lung","lung","lung","","","Lung","LUNG","Lung","lung","lung ","","lung","lung","lung"
"128","COR-L96CAR","COR-L96CAR","","","","","","","","","","",NA,"lung","","","","","","","","","","","lung","lung",NA
"129","CP50-MEL-B","CP50-MEL-B","","","","","","","CP50-MEL-B","","CP50-MEL-B","",NA,"skin","","","","","","","skin","","skin ","","skin","skin",NA
"130","CP66-MEL","CP66-MEL","","","","","","","CP66-MEL","","CP66-MEL","",NA,"skin","","","","","","","Skin","","skin ","","skin","skin",NA
"131","CP67-MEL","CP67-MEL","","","","","","","","","CP67-MEL","",NA,"skin","","","","","","","","","skin ","","skin","skin",NA
"132","CPC-N","CPC-N","CPC-N","","","","CPC-N","","CPC-N","","","",NA,"lung","lung","","","","Lung","","Lung","","","","lung","lung",NA
"133","CRO-AP2","CRO-AP2","","CROAP2","","","","","CRO-AP2","","CRO-AP2","",NA,"haematopoietic_and_lymphoid_tissue","","hematopoietic_and_lymphatic_system","","","","","Blood","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"134","CRO-AP5","CRO-AP5","","CROAP5","","","","","","","","",NA,"haematopoietic_and_lymphoid_tissue","","hematopoietic_and_lymphatic_system","","","","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"135","CTB-1","CTB-1","","","","","","","CTB-1","","CTB-1","",NA,"haematopoietic_and_lymphoid_tissue","","","","","","","Blood","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"136","CTV-1","CTV-1","","","","","","","CTV-1","","CTV-1","",NA,"haematopoietic_and_lymphoid_tissue","","","","","","","Blood","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"137","CW-2","CW-2","CW-2","","","","CW-2","CW2","CW-2","CW-2","CW-2","","CW2","large_intestine","large_intestine","","","","Colon","LARGE_INTESTINE","large_intestine","large_intestine","digestive_system ","","large_intestine","large_intestine","large_intestine"
"138","D-245MG","D-245MG","","","","","","","","","D-245MG","",NA,"central_nervous_system","","","","","","","","","","","central_nervous_system","central_nervous_system",NA
"139","D-247MG","D-247MG","","","","","","","D-247MG","","D-247MG","",NA,"central_nervous_system","","","","","","","CNS","","nervous_system ","","central_nervous_system","central_nervous_system",NA
"140","D-263MG","D-263MG","","","","","","","D-263MG","","D-263MG","",NA,"central_nervous_system","","","","","","","CNS","","nervous_system ","","central_nervous_system","central_nervous_system",NA
"141","D-283MED","D-283MED","D283 Med","D283MED","","","","","D-283MED","D283_Med","D-283MED","","D283MED","central_nervous_system","central_nervous_system","central_nervous_system","","","","","CNS","central_nervous_system","nervous_system ","","central_nervous_system","central_nervous_system","central_nervous_system"
"142","D-336MG","D-336MG","","","","","","","D-336MG","","D-336MG","",NA,"central_nervous_system","","","","","","","CNS","","nervous_system ","","central_nervous_system","central_nervous_system",NA
"143","D-384MED","D-384MED","","","","","","","","","","",NA,"central_nervous_system","","","","","","","","","","","central_nervous_system","central_nervous_system",NA
"144","D-392MG","D-392MG","","","","","","","D-392MG","","D-392MG","",NA,"central_nervous_system","","","","","","","CNS","","nervous_system ","","central_nervous_system","central_nervous_system",NA
"145","D-397MG","D-397MG","","","","","","","","","","",NA,"central_nervous_system","","","","","","","","","","","central_nervous_system","central_nervous_system",NA
"146","D-423MG","D-423MG","","","","","","","D-423MG","","D-423MG","",NA,"central_nervous_system","","","","","","","central_nervous_system","","nervous_system ","","central_nervous_system","central_nervous_system",NA
"147","D-458MED","D-458MED","","","","","","","","","","",NA,"central_nervous_system","","","","","","","","","","","central_nervous_system","central_nervous_system",NA
"148","D-502MG","D-502MG","","","","","","","D-502MG","","D-502MG","",NA,"central_nervous_system","","","","","","","CNS","","nervous_system ","","central_nervous_system","central_nervous_system",NA
"149","D-538MG","D-538MG","","","","","","","","","","",NA,"central_nervous_system","","","","","","","","","","","central_nervous_system","central_nervous_system",NA
"150","D-542MG","D-542MG","","","","","","","D-542MG","","D-542MG","",NA,"central_nervous_system","","","","","","","CNS","","nervous_system ","","central_nervous_system","central_nervous_system",NA
"151","D-556MED","D-556MED","","","","","","","","","","",NA,"central_nervous_system","","","","","","","","","","","central_nervous_system","central_nervous_system",NA
"152","D-566MG","D-566MG","","","","","","","D-566MG","","D-566MG","",NA,"central_nervous_system","","","","","","","central_nervous_system","","nervous_system ","","central_nervous_system","central_nervous_system",NA
"153","Daoy","Daoy","Daoy","","","","","","Daoy","Daoy","Daoy","","DAOY","central_nervous_system","central_nervous_system","","","","","","Brain","central_nervous_system","nervous_system ","","central_nervous_system","central_nervous_system","central_nervous_system"
"154","Daudi","Daudi","Daudi","DAUDI","","","Daudi","","Daudi","Daudi","Daudi","","DAUDI","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","Blood","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"155","DB","DB","DB","DB","","","DB","","DB","DB","DB","","DB","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","Lymph Node","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"156","DBTRG-05MG","DBTRG-05MG","DBTRG-05MG","DBTRG05MG","","","","","DBTRG-05MG","DBTRG-05MG","DBTRG-05MG","","DBTRG05MG","central_nervous_system","central_nervous_system","central_nervous_system","","","","","central_nervous_system","central_nervous_system","nervous_system ","","central_nervous_system","central_nervous_system","central_nervous_system"
"157","DEL","DEL","DEL","","","","","","DEL","DEL","DEL","","DEL","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"158","Detroit562","Detroit562","Detroit 562","DETROIT562","","","Detroit 562","","Detroit562","Detroit_562","Detroit562","","DETROIT562","upper_aerodigestive_tract","upper_aerodigestive_tract","pharynx","","","Nasal Pharynx","","Head & Neck","upper_aerodigestive_tract","aero_digestive_tract ","","upper_aerodigestive_tract","upper_aerodigestive_tract","upper_aerodigestive_tract"
"159","DG-75","DG-75","","DG75","","","","","DG-75","","DG-75","",NA,"haematopoietic_and_lymphoid_tissue","","hematopoietic_and_lymphatic_system","","","","","Blood","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"160","DJM-1","DJM-1","","","","","","","DJM-1","","DJM-1","",NA,"skin","","","","","","","Skin","","skin ","","skin","skin",NA
"161","DK-MG","DK-MG","DK-MG","DKMG","","","","","DK-MG","DK-MG","DK-MG","","DKMG","central_nervous_system","central_nervous_system","central_nervous_system","","","","","Brain","central_nervous_system","nervous_system ","","central_nervous_system","central_nervous_system","central_nervous_system"
"162","DMS-114","DMS-114","DMS 114","DMS114","","","","","DMS-114","DMS_114","DMS-114","","DMS114","lung","lung","lung","","","","","Lung","lung","lung ","","lung","lung","lung"
"163","DMS-153","DMS-153","DMS 153","DMS153","","","","","","DMS_153","","",NA,"lung","lung","lung","","","","","","lung","","","lung","lung",NA
"164","DMS-273","DMS-273","DMS 273","DMS273","","","DMS 273","DMS273","DMS-273","DMS_273","DMS-273","","DMS273","lung","lung","lung","","","Lung","LUNG","lung","lung","lung ","","lung","lung","lung"
"165","DMS-53","DMS-53","DMS 53","DMS53","","","DMS 53","","DMS-53","DMS_53","DMS-53","","DMS53","lung","lung","lung","","","Lung","","Lung","lung","lung ","","lung","lung","lung"
"166","DMS-79","DMS-79","DMS 79","DMS79","","","DMS 79","","DMS-79","DMS_79","DMS-79","","DMS79","lung","lung","lung","","","Lung","","Lung","lung","lung ","","lung","lung","lung"
"167","DOHH-2","DOHH-2","DOHH-2","DOHH2","","","DOHH-2","","DOHH-2","DOHH-2","DOHH-2","","DOHH2","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","Lymph Node","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"168","DOK","DOK","","","","","DOK","","DOK","","DOK","",NA,"upper_aerodigestive_tract","","","","","Tongue","","Head & Neck","","aero_digestive_tract ","","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"169","DoTc2-4510","DoTc2-4510","","DOTC24510","","","","","DoTc2-4510","","DoTc2-4510","",NA,"cervix","","cervix_uteri","","","","","Cervix","","urogenital_system ","","cervix","cervix",NA
"170","DSH1","DSH1","","","","","","","DSH1","","DSH1","",NA,"urinary_tract","","","","","","","Bladder","","urogenital_system ","","urinary_tract","urinary_tract",NA
"171","DU-145","DU-145","DU 145","DU145","PR:DU_145","","DU 145","","DU-145","DU_145","DU-145","","DU145","prostate","prostate","prostate","PR","","Prostate","","Prostate","prostate","urogenital_system ","","prostate","prostate","prostate"
"172","DU-4475","DU-4475","DU4475","DU4475","","","DU4475","","DU-4475","DU4475","","du4475","DU4475","breast","breast","breast","","","Breast","","Breast","breast","","breast","breast","breast","breast"
"173","DV-90","DV-90","DV-90","","","","DV-90","DV90","","DV-90","","","DV90","lung","lung","","","","Lung","LUNG","","lung","","","lung","lung","lung"
"174","EB2","EB2","EB2","EB2","","","EB2","","EB2","","EB2","",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","Blood","","Blood","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"175","EB-3","EB-3","","EB3","","","EB-3","","EB-3","","","",NA,"haematopoietic_and_lymphoid_tissue","","hematopoietic_and_lymphatic_system","","","Blood","","Blood","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"176","ECC10","ECC10","ECC10","","","","","","ECC10","ECC10","ECC10","","ECC10","stomach","stomach","","","","","","Stomach","stomach","digestive_system ","","stomach","stomach","stomach"
"177","ECC12","ECC12","ECC12","","","","","","ECC12","ECC12","ECC12","","ECC12","stomach","stomach","","","","","","Stomach","stomach","digestive_system ","","stomach","stomach","stomach"
"178","ECC4","ECC4","","","","","","","ECC4","","","",NA,"gastrointestinal_tract_(site_indeterminate)","","","","","","","gastrointestinal_tract_(site_indeterminate)","","","","gastrointestinal_tract_(site_indeterminate)","gastrointestinal_tract_(site_indeterminate)",NA
"179","EC-GI-10","EC-GI-10","EC-GI-10","","","","","","EC-GI-10","EC-GI-10","EC-GI-10","","ECGI10","oesophagus","oesophagus","","","","","","Esophagus","oesophagus","aero_digestive_tract ","","oesophagus","oesophagus","oesophagus"
"180","EFE-184","EFE-184","EFE-184","","","","","","","EFE-184","","","EFE184","endometrium","endometrium","","","","","","","endometrium","","","endometrium","endometrium","endometrium"
"181","EFM-19","EFM-19","EFM-19","EFM19","","EFM19","EFM-19","","EFM-19","EFM-19","EFM-19","efm19",NA,"breast","breast","breast","","breast","Breast","","Breast","breast","breast ","breast","breast","breast",NA
"182","EFO-21","EFO-21","EFO-21","","","","","EFO21","EFO-21","EFO-21","EFO-21","","EFO21","ovary","ovary","","","","","OVARY","Ovary","ovary","urogenital_system ","","ovary","ovary","ovary"
"183","EFO-27","EFO-27","EFO-27","","","","EFO-27","EFO27","EFO-27","EFO-27","EFO-27","","EFO27","ovary","ovary","","","","Ovary","OVARY","Ovary","ovary","urogenital_system ","","ovary","ovary","ovary"
"184","EGI-1","EGI-1","","","","","","","EGI-1","","EGI-1","",NA,"biliary_tract","","","","","","","Liver","","digestive_system ","","biliary_tract","biliary_tract",NA
"185","EHEB","EHEB","EHEB","","","","","","EHEB","EHEB","","","EHEB","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","Blood","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"186","EKVX","EKVX","","EKVX","LC:EKVX","","EKVX","","EKVX","EKVX","EKVX","","EKVX","lung","","lung","LC","","Lung","","Lung","lung","lung ","","lung","lung",""
"187","EM-2","EM-2","EM-2","EM2","","","","","EM-2","EM-2","EM-2","","EM2","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"188","EoL-1-cell","EoL-1-cell","EOL-1","","","","","","EoL-1-cell","EOL-1","EoL-1-cell","","EOL1","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"189","EPLC-272H","EPLC-272H","EPLC-272H","","","","EPLC-272H","EPLC272H","EPLC-272H","EPLC-272H","EPLC-272H","","EPLC272H","lung","lung","","","","Lung","LUNG","Lung:NSCLC","lung","lung ","","lung","lung","lung"
"190","ES1","ES1","","","","","","","ES1","","ES1","",NA,"bone","","","","","","","Bone","","bone ","","bone","bone",NA
"191","ES3","ES3","","","","","","","ES3","","ES3","",NA,"bone","","","","","","","Bone","","bone ","","bone","bone",NA
"192","ES4","ES4","","","","","","","ES4","","ES4","",NA,"bone","","","","","","","Bone","","bone ","","bone","bone",NA
"193","ES5","ES5","","","","","","","ES5","","ES5","",NA,"bone","","","","","","","Bone","","bone ","","bone","bone",NA
"194","ES6","ES6","","","","","","","ES6","","ES6","",NA,"bone","","","","","","","bone","","bone ","","bone","bone",NA
"195","ES7","ES7","","","","","","","ES7","","ES7","",NA,"bone","","","","","","","Bone","","bone ","","bone","bone",NA
"196","ES8","ES8","","","","","","","ES8","","ES8","",NA,"bone","","","","","","","Bone","","bone ","","bone","bone",NA
"197","ESS-1","ESS-1","ESS-1","","","","","","ESS-1","ESS-1","ESS-1","","ESS1","endometrium","endometrium","","","","","","endometrium","endometrium","urogenital_system ","","endometrium","endometrium","endometrium"
"198","ETK-1","ETK-1","","","","","","","ETK-1","","","",NA,"biliary_tract","","","","","","","Biliary","","","","biliary_tract","biliary_tract",NA
"199","EVSA-T","EVSA-T","EVSA-T","","","EVSAT","EVSA-T","","EVSA-T","","","evsat",NA,"breast","breast","","","breast","Breast","","Breast","","","breast","breast","breast",NA
"200","EW-1","EW-1","","","","","","","EW-1","","EW-1","",NA,"bone","","","","","","","Bone","","bone ","","bone","bone",NA
"201","EW-11","EW-11","","","","","","","EW-11","","EW-11","",NA,"bone","","","","","","","Bone","","bone ","","bone","bone",NA
"202","EW-12","EW-12","","","","","","","EW-12","","EW-12","",NA,"bone","","","","","","","bone","","bone ","","bone","bone",NA
"203","EW-13","EW-13","","","","","","","EW-13","","EW-13","",NA,"bone","","","","","","","Bone","","bone ","","bone","bone",NA
"204","EW-16","EW-16","","","","","","","EW-16","","EW-16","",NA,"bone","","","","","","","Bone","","bone ","","bone","bone",NA
"205","EW-18","EW-18","","","","","","","EW-18","","EW-18","",NA,"bone","","","","","","","Bone","","bone ","","bone","bone",NA
"206","EW-22","EW-22","","","","","","","EW-22","","EW-22","",NA,"bone","","","","","","","Bone","","bone ","","bone","bone",NA
"207","EW-24","EW-24","","","","","","","EW-24","","EW-24","",NA,"bone","","","","","","","Bone","","bone ","","bone","bone",NA
"208","EW-3","EW-3","","","","","","","EW-3","","EW-3","",NA,"bone","","","","","","","Bone","","bone ","","bone","bone",NA
"209","EW-7","EW-7","","","","","","","EW-7","","EW-7","",NA,"bone","","","","","","","Bone","","bone ","","bone","bone",NA
"210","FADU","FADU","FaDu","FADU","","","FaDu","","FADU","FaDu","FADU","","FADU","upper_aerodigestive_tract","upper_aerodigestive_tract","pharynx","","","Nasal Pharynx","","Head & Neck","upper_aerodigestive_tract","aero_digestive_tract ","","upper_aerodigestive_tract","upper_aerodigestive_tract","upper_aerodigestive_tract"
